,Country,GINI,crop_land,grazing_land,forest_land,fishing_ground,built_up_land,carbon,EFtotal,Human_Development_Index,Life_expectancy_at_birth,Expected_years_of_schooling,Mean_years_of_schooling,Gross_national_income_GNI_per_capita,CPI2015
34,Czech Republic,25.9,1.983855719,0.37296786,1.759286784,0.036317054,0.304828632,6.836551902,11.29380795,0.88,78.8,16.8,12.3,28144,56
131,Turkmenistan,43.2,1.014296098,1.142645373,0.085601571,0.011217788,0.141953616,8.725243894,11.12095834,0.69,65.7,10.8,9.9,14026,18
7,Austria,30.5,1.613519996,0.401819834,1.833799733,0.063636129,0.30232319,6.496635579,10.71173448,0.89,81.6,15.9,11.3,43609,76
12,Belgium,28.1,1.634817875,0.449550841,1.025547112,0.134893842,0.38136223,6.891331999,10.5175039,0.9,81,16.6,11.4,41243,77
11,Belarus,26.7,2.550755,0.413104991,2.032928452,0.095004135,0.161168042,4.627081911,9.88004253,0.8,71.5,15.7,12,15629,32
47,Germany,31.4,1.720716511,0.235031358,0.943771682,0.076208644,0.31340303,6.454829205,9.74396043,0.93,81.1,17.1,13.2,45000,81
100,Paraguay,47.9,3.242651954,3.67773212,1.720081462,0.012865309,0.24706661,0.748462541,9.648859999,0.69,73,12.3,8.1,8182,27
60,Ireland,31.9,1.670194308,1.156361396,0.841316947,0.535626821,0.202456404,5.173711294,9.57966717,0.92,81.1,18.6,12.3,43798,75
91,Netherlands,28.6,1.224037819,0.549550602,0.443411627,0.171239315,0.17880672,6.986947367,9.55399345,0.92,81.7,18.1,11.9,46326,87
4,Argentina,42.4,3.718215883,1.85753724,0.464633306,0.286910846,0.210017646,2.840984282,9.378299205,0.83,76.5,17.3,9.9,20945,32
103,Poland,32.1,1.895473583,0.113701225,1.549649751,0.098773051,0.177421524,5.175000692,9.010019826,0.86,77.6,16.4,11.9,24117,62
78,Malaysia,46.3,1.403597066,0.13671094,0.804899961,0.772971842,0.15053001,5.72907382,8.997783638,0.79,74.9,13.1,10.1,24620,50
115,Slovenia,25.7,0.957633372,0.26888219,2.427655088,0.04772481,0.049843698,5.09787295,8.849612109,0.89,80.6,17.3,12.1,28664,60
26,Chile,47.7,0.837250716,0.662889034,3.038561746,0.605623208,0.216622822,3.346597964,8.707545489,0.85,82,16.3,9.9,21665,70
64,Japan,32.1,0.55549576,0.108034685,0.370291981,0.557691439,0.117635632,6.935739432,8.644888902,0.9,83.7,15.3,12.5,37268,75
114,Slovakia,26.1,1.608466962,0.188134872,1.837345609,0.043734468,0.250468262,4.703749698,8.63189987,0.85,76.4,15,12.2,26764,51
14,Bhutan,38.7,0.721751555,0.646375375,5.350016699,0.031410104,0.51750922,1.296648413,8.563711405,0.61,69.9,12.5,3.1,7081,65
44,France,32.3,2.281748096,0.421243081,0.968038965,0.330840653,0.328444962,4.223428594,8.55374435,0.9,82.4,16.3,11.6,38085,70
135,United Kingdom,34.1,1.344615596,0.365526354,0.596874723,0.174348289,0.31127032,5.225302926,8.017938207,0.91,80.8,16.3,13.3,37931,81
18,Bulgaria,37.4,2.382858637,0.200048923,0.72207385,0.03354993,0.320825848,4.124524546,7.783881734,0.79,74.3,15,10.8,16261,41
49,Greece,35.8,2.050387528,0.471759351,0.337365357,0.135580083,0.114136288,4.657847304,7.767075912,0.87,81.1,17.2,10.5,24808,46
61,Israel,41.4,0.962050728,0.247326305,0.337343326,0.084989027,0.118269316,5.959829719,7.709808423,0.9,82.6,16,12.8,31215,61
56,Hungary,30.9,2.655657803,0.088897432,0.700181727,0.022705478,0.35957846,3.563014368,7.390035269,0.84,75.3,15.6,12,23394,51
123,Switzerland,32.5,0.840464408,0.332972289,0.69862464,0.073439804,0.136677424,5.164611701,7.246790267,0.94,83.1,16,13.4,56364,86
27,China,42.2,1.062044225,0.243459887,0.331793821,0.164035455,0.244958128,5.194620418,7.240911935,0.74,76,13.5,7.6,13345,37
118,Spain,36,1.637551546,0.247058301,0.43558509,0.768511451,0.077511306,4.017068242,7.183285936,0.88,82.8,17.7,9.8,32779,58
116,South Africa,63,0.627265333,0.271324611,0.512612231,0.176566537,0.070098692,5.473696221,7.131563627,0.67,57.7,13,10.3,12087,44
133,Ukraine,25.5,2.878356511,0.02179794,0.361503375,0.101908291,0.167816592,3.558181543,7.08956425,0.74,71.1,15.3,11.3,7361,27
17,Brazil,51.3,1.836669261,1.770637621,1.203582994,0.080548081,0.187237998,1.791749476,6.870425429,0.75,74.7,15.2,7.8,14145,38
62,Italy,34.7,1.260326925,0.354416909,0.555208151,0.146308294,0.098027422,4.444535917,6.858823616,0.89,83.3,16.3,10.9,33573,44
