"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Belize","BLZ","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4977.15382274768","5441.43992477952","5953.31611215115","6195.23563077994","6004.20170596941","5931.53599962555","5801.75330236697","5833.11494568285","5754.3347268146","5983.15599892756","6475.57234622898","6503.71512161312","6679.24276104163","7007.54523860494","7010.1391311908","7067.12986108388","7201.90798475409","6930.28307877451","7016.72371882824","7282.42942232904","7127.57500468341","7341.56131216271","7301.96044236294","7217.36881140985","7269.67493067258","7557.59238378724","7300.22780295995","7079.85062661525","",
"Bermuda","BMU","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68113.3145726942","","","","","","","",
"Bolivia","BOL","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3534.48091195552","3671.98649074651","3702.74395183553","3784.45798206581","3904.20387853282","4005.07303145997","4107.57013785043","4240.4054512716","4392.03654758292","4307.16757057511","4319.49853516965","4314.92716922478","4340.85859312305","4325.84138803383","4392.85364188514","4528.43061084475","4681.53668604362","4801.68603529468","5037.60754136161","5092.84527118906","5178.10490108706","5327.3226368231","5432.77692939095","5703.72674918186","6013.20861467969","6345.11816257841","6621.21544401811","6715.78042019484","",
"Brazil","BRA","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10066.8232286688","10082.1522822275","9899.50414139852","10138.3742866716","10368.7745400283","10910.6103857106","10842.3058113846","10984.3503686296","10716.6711527156","10515.3139828589","11058.4309021382","11017.5075602579","11187.1671151984","11189.8019207488","11712.9581402271","11956.4920586578","12338.2370566226","12996.6196276662","13474.0040661647","13358.1623998931","14114.6916806367","14583.081321911","14801.8866020246","15251.0129251014","15075.9478536973","14396.7786917668","13794.9327814892","13852.0897053154","",
"Barbados","BRB","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15411.3233105495","","","","","","","",
"Brunei Darussalam","BRN","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85125.6033910706","85334.1141415631","86885.8671655783","84741.5337281681","85060.0373884886","86576.9566796712","86874.4874740392","83583.2237290933","81245.8930763905","81912.2556298653","82488.7540672132","83038.8783076296","84575.7249057607","85425.5443194926","84391.5230274059","83411.1970923587","85881.7962487859","85383.6483247953","82725.0851234332","80307.3897026104","80390.4035727944","80216.8565837876","80050.5638149823","78473.6255458345","76416.8826511056","78610.8104001919","76869.755557351","76427.2103184871","",
"Bhutan","BTN","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3534.56314537958","3721.89483259985","3948.45865279485","4104.23704917831","4229.43744083526","4456.99945097554","4700.632590153","5373.3045280585","5440.66800506056","5617.44085234844","6062.23052137448","6379.98028188045","6486.01220619252","6588.53228941439","6862.57604466285","7216.65141126502","7573.88852227157","7821.55429458994","",
"Botswana","BWA","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7722.76462812181","8415.23121647677","8506.52976205263","8772.15688130206","7948.99726951042","8660.09846062035","8565.61657726658","9309.41292507277","9648.46793828098","9686.00905154009","9561.40169047586","9812.46354550785","9253.93342351126","9919.47262215152","9907.9335349977","10396.6593980409","11173.6751279056","12043.1945984594","12631.3853097736","11966.1126558046","12498.6316461031","13789.7718016291","14229.1635923007","14850.9012157955","15231.3520019762","14793.4513372604","14767.4577949322","14921.857998433","",
"Central African Republic","CAF","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","851.677868561095","861.516080675889","885.480654198738","908.613409004052","943.777698710147","595.370007604794","599.751810583372","624.498634953998","643.746974660463","663.151633091141","",
"Canada","CAN","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30226.6522421818","29269.9782737746","29094.1660840554","29600.2516786261","30581.6190553415","31173.0716334256","31367.7419639153","32440.8186733492","33340.0769187302","34765.9940688191","36492.5533145113","36700.2715558592","37582.7405655032","37890.4921551666","38774.6036554129","39657.4846434607","40558.5359532627","41039.7878817356","40996.5856025873","39253.0424524002","39900.5988107462","40778.3143728724","41055.030666909","41697.3925724948","42383.0982876869","42511.8356583005","42664.1826495562","","",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16683.7486766396","17684.8609844677","18785.1852603932","19881.026826659","20927.9052365397","20349.1061016739","20622.7947989011","21321.5890327711","21669.1685731746","22084.6955501004","22766.355184498","23584.5458831432","24349.8842931341","","",
"Switzerland","CHE","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49017.9478754802","48014.8826017549","47347.4357112763","47068.9479651771","46934.916542101","47230.6524617745","47394.196121265","49189.9139055564","50711.3885971641","51704.714895026","53875.1434890423","52890.492208229","51993.9670883253","53625.1546220155","54532.8037023895","56993.3743556406","58381.7396196844","56419.7515116163","52929.5475795031","55666.5046864928","58957.4493638703","56459.9389678831","57130.683574221","57566.9466542752","57472.4398725145","58279.6423253623","","","",
"Channel Islands","CHI","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8632.35440605522","9166.40038336238","10116.8857724002","10685.2915003126","10947.708231972","11805.3605131908","12497.5922827063","13263.51721938","13757.9080650395","13454.7247391713","13916.501942601","14233.6724752059","14438.8942879157","14560.0545087516","15072.079061144","15645.1993618636","15674.7890305302","16448.2661146566","17647.2170274715","17357.1858335679","18062.4457981825","19201.4152818387","20353.1140398679","21090.2799136504","21475.4943925015","21914.9534210269","22028.2240425334","21909.1544758023","",
"China","CHN","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2530.24672411602","2755.56535957778","2986.82352387238","3176.90555717122","3399.23651866308","3662.06210064554","3930.05019099787","4275.69718144151","4692.21177437657","5152.35296769495","5681.60885881988","6399.8415052369","7301.77549156956","7996.46071775559","8637.89160170298","9485.32012222179","10287.8579817869","11120.502893921","11855.0129073461","12775.4759748895","13519.3599803867","14353.9771887492","15269.7612435785","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2576.01394380799","2596.36784395734","2589.49344448885","2413.6310250666","2624.78353456026","2756.58793757932","2976.91686186216","3142.37679584713","3404.85462093383","3480.77834049416","",
"Cameroon","CMR","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2905.41707608066","2658.41717238185","2535.0191184207","2273.68966150277","2246.4944816735","2260.02098773365","2297.20598032236","2353.84520136003","2429.23994541228","2476.34215133152","2450.57884540556","2472.01437604715","2534.13848163623","2644.08424145614","2783.66108491952","2752.64344203243","2811.93845192778","2843.07351527484","2882.07171824625","2899.05695937472","2900.58847492178","2938.36539065868","2974.53190587168","3039.81045278899","3169.72939579329","3242.80536628377","3295.87083087681","3318.97975989801","",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","728.916968426052","695.635094073667","724.881916766132","664.108820703593","642.236582314726","579.744352441974","565.735815583062","522.223200205384","531.31750772749","548.097040686207","564.142812140237","572.474109185584","589.818847433844","602.239059005371","602.244381251241","614.237923401385","634.711449126388","648.192834649413","665.582506140095","669.461909239962","712.613402364168","750.130200098795","791.874423812124","795.826415224838","",
"Congo, Rep.","COG","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5770.55555319139","5853.84387269015","6094.00288509105","5486.28810314833","5323.272576432","3869.56619223627","3893.30243439748","4339.79399183783","5013.50999569267","3907.70155233498","3455.68185161149","3880.18415137429","3938.39278278037","3832.44744357412","3517.84991975664","2898.59943452396","2606.78908281178","3051.9962223804","3522.93269882653","3964.40064439402","3946.42030175255","3872.23945519957","4616.26946995906","4969.51333175871","5777.94804517812","7418.02901831382","6573.59667364041","5894.94534903231","",
"Colombia","COL","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7140.97564544997","7188.56048689627","7374.85880902792","7703.66019966439","8091.45659159488","8379.82722406249","8382.21759096732","8530.25440976839","8491.55211554399","8025.93481146279","8096.65910638842","8093.3090413108","8162.42924089152","8306.54905415874","8624.57846848166","8900.56208396655","9390.73724975891","9883.94280554449","10056.4649541173","10100.3495456215","10380.3281877513","10932.6175394145","11312.6757238159","11755.9227717749","12258.3183082768","12693.2293257733","12844.3011028954","12850.3679623799","",
